Date,Mkt-RF,SMB,HML,RF,AAPL
201802,-3.65,0.3,-1.01,0.11,0.06357069
201803,-2.35,4.05,-0.12,0.12,-0.062087792
201804,0.29,1.13,0.5,0.14,-0.017580378
201805,2.65,5.28,-3.15,0.14,0.124390075
201806,0.48,1.19,-2.31,0.14,-0.011836926
201807,3.19,-2.21,0.57,0.16,0.025128823
201808,3.44,1.15,-3.92,0.16,0.180295851
201809,0.06,-2.28,-1.63,0.15,-0.010884274
201810,-7.68,-4.78,3.46,0.19,-0.033584079
201811,1.69,-0.71,0.34,0.18,-0.202423279
201812,-9.55,-2.48,-1.89,0.19,-0.126326966
201901,8.41,2.89,-0.46,0.21,0.051490951
201902,3.4,2.12,-2.71,0.18,0.041543889
201903,1.1,-3.05,-4.19,0.19,0.0905909
201904,3.96,-1.75,2.02,0.21,0.05280998
201905,-6.94,-1.18,-2.28,0.21,-0.134417114
201906,6.93,0.22,-0.79,0.18,0.121010188
201907,1.19,-2.08,0.34,0.19,0.071932792
201908,-2.58,-2.4,-4.85,0.16,-0.017853101
201909,1.43,-1.05,6.77,0.18,0.069026805
201910,2.06,0.24,-1.88,0.15,0.103567264
201911,3.87,0.91,-2.05,0.12,0.073221161
201912,2.77,0.67,1.91,0.14,0.092605016
202001,-0.11,-3.08,-6.27,0.13,0.051335048
202002,-8.13,1.02,-3.92,0.12,-0.122769448
202003,-13.38,-5.03,-13.96,0.12,-0.072895902
202004,13.65,2.75,-1.39,0,0.143905557
202005,5.58,2.49,-5.05,0.01,0.08112683
202006,2.46,2.71,-2.35,0.01,0.136942307
202007,5.77,-2.18,-1.39,0.01,0.152387421
202008,7.63,-0.25,-2.94,0.01,0.195457372
202009,-3.63,0.06,-2.51,0.01,-0.108735676
202010,-2.1,4.44,4.03,0.01,-0.062604958
202011,12.47,5.48,2.11,0.01,0.090501385
202012,4.63,4.91,-1.46,0.01,0.115432805
